"t Gyro","abs Gyro","t IMU","abs IMU","t GPS","v GPS","z GPS","lat GPS","lon GPS"
0.000000000E0,2.844297690E-2,0.000000000E0,9.206882949E0,0.000000000E0,1.053420901E0,2.517017636E2,5.078160840E1,6.045224903E0
5.004687000E-3,2.844297690E-2,5.045312000E-3,9.398229760E0,2.043463540E-1,7.716901302E-1,2.524449579E2,5.078168971E1,6.045264984E0
1.000937500E-2,2.844297690E-2,1.001093700E-2,9.519562884E0,1.213421354E0,1.721978784E-1,2.564871024E2,5.078190093E1,6.045283374E0
1.501718700E-2,2.844297690E-2,1.498593700E-2,9.753619139E0,2.244354687E0,2.988449335E-1,2.457765441E2,5.078186740E1,6.045253477E0
2.002187500E-2,2.844297690E-2,1.999062500E-2,9.916347326E0,3.395609895E0,1.134240180E-1,2.476794530E2,5.078182624E1,6.045276837E0
2.502812500E-2,2.844297690E-2,2.499531200E-2,1.011182878E1,4.351838020E0,0.000000000E0,2.476794530E2,5.078182624E1,6.045276837E0
3.000156200E-2,2.844297690E-2,3.000156200E-2,1.020484185E1,5.356982812E0,7.288383842E-1,2.496493536E2,5.078182432E1,6.045273340E0
3.500625000E-2,2.844297690E-2,3.500625000E-2,1.025052150E1,6.353077603E0,2.439100266E0,2.534772332E2,5.078179872E1,6.045294217E0
4.001250000E-2,2.844297690E-2,4.001250000E-2,1.027191915E1,7.356870311E0,4.815070629E0,2.543302467E2,5.078175575E1,6.045339405E0
4.501875000E-2,2.844297690E-2,4.498750000E-2,1.017239875E1,8.357202603E0,9.770735741E0,2.547810341E2,5.078167041E1,6.045439641E0
5.002343700E-2,2.844297690E-2,4.999218700E-2,1.015627444E1,9.362891144E0,1.295447254E1,2.531725712E2,5.078156165E1,6.045568391E0
5.499843700E-2,2.844297690E-2,5.499843700E-2,1.014139952E1,1.035344271E1,1.454335785E1,2.526006523E2,5.078144769E1,6.045713834E0
6.000312500E-2,2.844297690E-2,6.000468700E-2,1.007724452E1,1.135292916E1,1.627687836E1,2.516835258E2,5.078131999E1,6.045875255E0
6.500937500E-2,2.844297690E-2,6.500937500E-2,9.988384210E0,1.235675833E1,1.809553146E1,2.517820467E2,5.078115507E1,6.046018179E0
7.001562500E-2,1.001034964E0,6.998281200E-2,9.865751739E0,1.335799948E1,1.828681183E1,2.519971762E2,5.078100030E1,6.046177306E0
7.502031200E-2,9.815302111E-1,7.498906200E-2,9.818095281E0,1.435566875E1,1.737345314E1,2.519513671E2,5.078087564E1,6.046346079E0
8.002500000E-2,9.567436734E-1,7.999375000E-2,9.886989554E0,1.535689635E1,1.643062782E1,2.517187314E2,5.078076901E1,6.046513412E0
8.500000000E-2,9.297593537E-1,8.500000000E-2,1.002914786E1,1.635913281E1,1.613840103E1,2.515200273E2,5.078066927E1,6.046681216E0
9.000468700E-2,9.017082691E-1,9.000625000E-2,1.008298172E1,1.735421927E1,1.579301929E1,2.513848693E2,5.078057160E1,6.046848587E0
9.501093700E-2,8.680874269E-1,9.501093700E-2,1.002112085E1,1.835417291E1,1.538697720E1,2.510882707E2,5.078048046E1,6.047010893E0
1.000171870E-1,8.366525867E-1,9.998437500E-2,9.962517304E0,1.936331562E1,1.523109055E1,2.510276553E2,5.078039279E1,6.047175108E0
1.050218750E-1,8.064503759E-1,1.049906250E-1,9.870241424E0,2.035178646E1,1.525551319E1,2.504897311E2,5.078031113E1,6.047345878E0
1.100281250E-1,7.783842470E-1,1.099968750E-1,9.794793121E0,2.136662343E1,1.502013779E1,2.500917493E2,5.078023438E1,6.047518436E0
1.150015620E-1,7.433916288E-1,1.150015620E-1,9.660344616E0,2.235269948E1,1.485102081E1,2.501371359E2,5.078016157E1,6.047693106E0
1.200078120E-1,7.187161017E-1,1.200078120E-1,9.509036056E0,2.335877448E1,1.448449516E1,2.502745368E2,5.078009375E1,6.047866000E0
1.250140620E-1,6.898840448E-1,1.249812500E-1,9.413596754E0,2.435423698E1,1.433418465E1,2.502467993E2,5.078003469E1,6.048041652E0
1.300187500E-1,6.677637231E-1,1.299875000E-1,9.251344214E0,2.535741458E1,1.413367653E1,2.499911313E2,5.077997993E1,6.048217721E0
1.350250000E-1,6.244907491E-1,1.349921870E-1,9.175285866E0,2.636675104E1,1.359462261E1,2.496621498E2,5.077992619E1,6.048390883E0
1.399984370E-1,5.993120154E-1,1.399984370E-1,9.129033178E0,2.735572968E1,1.355512142E1,2.491258998E2,5.077988232E1,6.048564269E0
1.450046870E-1,5.902222775E-1,1.450046870E-1,9.042260781E0,2.835598698E1,1.348776722E1,2.489236767E2,5.077984172E1,6.048741364E0
1.500093750E-1,5.891908549E-1,1.500093750E-1,9.135104292E0,2.936320989E1,1.369650650E1,2.491045800E2,5.077980117E1,6.048921430E0
1.550156250E-1,5.948472504E-1,1.549843750E-1,9.221251697E0,3.035340520E1,1.381505680E1,2.496867401E2,5.077976256E1,6.049105038E0
1.600203120E-1,6.176883567E-1,1.599890620E-1,9.141241676E0,3.139458333E1,1.378622150E1,2.502191614E2,5.077972830E1,6.049290091E0
1.650265620E-1,6.406412747E-1,1.649937500E-1,9.408197692E0,3.235145208E1,1.372010231E1,2.506399437E2,5.077969712E1,6.049479356E0
1.700000000E-1,6.730936665E-1,1.700015620E-1,9.641157180E0,3.335806875E1,1.372689056E1,2.512811722E2,5.077967354E1,6.049671554E0
1.750062500E-1,7.125234265E-1,1.750062500E-1,9.626424707E0,3.435285156E1,1.368825054E1,2.515012574E2,5.077965481E1,6.049865727E0
1.800109370E-1,7.619740116E-1,1.800125000E-1,9.700416220E0,3.535674322E1,1.346989918E1,2.515745888E2,5.077963969E1,6.050057791E0
1.850171870E-1,8.121751441E-1,1.849859370E-1,9.873860024E0,3.635498593E1,1.320032692E1,2.512706150E2,5.077962646E1,6.050243998E0
1.900234370E-1,8.540490303E-1,1.899906250E-1,9.915848459E0,3.735669218E1,1.089805984E1,2.511805835E2,5.077961524E1,6.050409651E0
1.950281250E-1,8.797909961E-1,1.949968750E-1,1.003518231E1,3.836076718E1,5.050789833E0,2.509656454E2,5.077960807E1,6.050513667E0
2.000031250E-1,8.960099980E-1,2.000031250E-1,1.017966368E1,3.935863020E1,2.553246260E0,2.508633595E2,5.077960294E1,6.050548873E0
2.050078120E-1,9.037874601E-1,2.050078120E-1,1.020586606E1,4.035771041E1,4.341915548E-1,2.506826474E2,5.077960053E1,6.050556000E0
2.100140620E-1,9.202566440E-1,2.099828120E-1,1.026148921E1,4.138838749E1,8.291785717E-1,2.504770300E2,5.077960187E1,6.050540816E0
2.150203120E-1,9.520510939E-1,2.149875000E-1,1.025966576E1,4.236268697E1,0.000000000E0,2.504770300E2,5.077960187E1,6.050540816E0
2.200250000E-1,9.917539486E-1,2.199937500E-1,1.020516049E1,4.338513437E1,3.078633308E0,2.501787896E2,5.077960569E1,6.050552978E0
2.250000000E-1,1.026795954E0,2.250000000E-1,1.016334300E1,4.436850260E1,5.029379845E0,2.499658933E2,5.077959867E1,6.050599941E0
2.300046870E-1,1.029898506E0,2.300046870E-1,1.008783299E1,4.535690208E1,5.279027462E0,2.500199867E2,5.077958718E1,6.050665216E0
2.350109370E-1,1.012876458E0,2.350093750E-1,1.001905193E1,4.636715156E1,5.525793076E0,2.504571033E2,5.077959261E1,6.050730034E0
2.400156250E-1,9.712219417E-1,2.399843750E-1,1.001022809E1,4.735310833E1,5.159243107E0,2.503788165E2,5.077962583E1,6.050785873E0
2.450218750E-1,9.200960711E-1,2.449890620E-1,1.006078539E1,4.835673176E1,8.116190910E0,2.500398696E2,5.077971145E1,6.050805919E0
2.500281250E-1,8.573040331E-1,2.499953120E-1,1.015453614E1,4.935947395E1,1.166895771E1,2.498558416E2,5.077984133E1,6.050815576E0
2.550015620E-1,8.245739402E-1,2.550015620E-1,1.025250267E1,5.035144374E1,1.534145546E1,2.497428903E2,5.077999541E1,6.050818323E0
2.600062500E-1,8.479390214E-1,2.600062500E-1,1.030224941E1,5.135727551E1,1.606649780E1,2.498353403E2,5.078015925E1,6.050826460E0
2.650125000E-1,9.079315330E-1,2.650125000E-1,1.035759858E1,5.238876301E1,1.623234749E1,2.499360203E2,5.078031697E1,6.050832699E0
2.700187500E-1,9.946672155E-1,2.699859370E-1,1.041197084E1,5.336074530E1,1.645173836E1,2.496735928E2,5.078047141E1,6.050832037E0
2.750234370E-1,1.088844971E0,2.749921870E-1,1.040022673E1,5.435803280E1,1.657549667E1,2.495799835E2,5.078062603E1,6.050828840E0
2.799984370E-1,1.167297419E0,2.799984370E-1,1.044368203E1,5.535859114E1,1.664880753E1,2.499639796E2,5.078077163E1,6.050814792E0
2.850031250E-1,1.228809492E0,2.850031250E-1,1.047354608E1,5.635953541E1,1.675844193E1,2.502995260E2,5.078091635E1,6.050801371E0
2.930082610E-1,1.270961429E0,2.900093750E-1,1.046696325E1,5.735324947E1,1.637262154E1,2.506379333E2,5.078106006E1,6.050792481E0
2.950140620E-1,1.304144492E0,2.949828120E-1,1.059770455E1,5.835841405E1,1.636663628E1,2.508305980E2,5.078120860E1,6.050779720E0
3.000203120E-1,1.353884643E0,2.999890620E-1,1.059009473E1,5.936598853E1,1.612729836E1,2.510067500E2,5.078135566E1,6.050772794E0
