"t Gyro";"abs Gyro";"t IMU";"abs IMU";"t GPS";"v GPS";"z GPS";"lat GPS";"lon GPS"
0.000000000E0;4.626069429E-1;0.000000000E0;9.907990606E0;0.000000000E0;7.200000286E-1;2.651607666E2;5.078164244E1;6.045376380E0
4.943848000E-3;4.582939510E-1;5.004883000E-3;1.031133642E1;9.972691140E-1;1.330000043E0;2.664205322E2;5.078172077E1;6.045391590E0
9.887696000E-3;4.251880946E-1;9.918213000E-3;1.049992789E1;2.003201978E0;6.399999857E-1;2.643879395E2;5.078173972E1;6.045389320E0
1.480102600E-2;4.132589991E-1;1.486206100E-2;1.064269161E1;2.990642967E0;5.600000024E-1;2.665712891E2;5.078175236E1;6.045384510E0
1.971435600E-2;4.220550686E-1;1.977539100E-2;1.079628428E1;3.991225102E0;2.899999917E-1;2.612894897E2;5.078177031E1;6.045386500E0
2.462768600E-2;4.216864794E-1;2.471923900E-2;1.084323068E1;4.999247081E0;6.600000262E-1;2.637593994E2;5.078177680E1;6.045376580E0
2.954101600E-2;4.144716328E-1;2.963256900E-2;1.080870395E1;5.996857341E0;2.710000038E0;2.669396973E2;5.078176320E1;6.045381590E0
3.448486400E-2;3.882346692E-1;3.457641600E-2;1.075005577E1;6.998792393E0;2.950000048E0;2.685354004E2;5.078173592E1;6.045400880E0
3.939819400E-2;3.530371511E-1;3.948974700E-2;1.056890075E1;7.994471403E0;7.989999771E0;2.669316406E2;5.078163498E1;6.045482220E0
4.431152400E-2;3.196737671E-1;4.440307700E-2;1.040828462E1;8.987725621E0;1.032999992E1;2.639105225E2;5.078155441E1;6.045584980E0
4.922485400E-2;2.931206703E-1;4.931640700E-2;1.021301298E1;1.000005916E1;1.207999992E1;2.641733398E2;5.078145279E1;6.045686280E0
5.413818400E-2;2.747865258E-1;5.422973700E-2;1.005934776E1;1.099088510E1;1.218000031E1;2.635369873E2;5.078136231E1;6.045795190E0
5.908203200E-2;2.519514842E-1;5.917358400E-2;9.918267342E0;1.199383250E1;1.306999969E1;2.650106201E2;5.078125785E1;6.045899750E0
6.399536200E-2;2.255447059E-1;6.408691500E-2;9.811644987E0;1.299736130E1;1.540999985E1;2.657242432E2;5.078114913E1;6.046057310E0
6.890869200E-2;2.134097931E-1;6.900024500E-2;9.839875655E0;1.399452270E1;1.647999954E1;2.633801270E2;5.078103079E1;6.046206270E0
7.382202200E-2;2.011144803E-1;7.391357500E-2;9.812744689E0;1.499674650E1;1.623999977E1;2.636279297E2;5.078092261E1;6.046361150E0
7.876586900E-2;2.001207288E-1;7.882690500E-2;9.800418389E0;1.598491796E1;1.602000046E1;2.629674072E2;5.078080560E1;6.046512240E0
8.367920000E-2;2.028460679E-1;8.377075200E-2;9.724598640E0;1.700569525E1;1.603000069E1;2.631358643E2;5.078069240E1;6.046675950E0
8.859253000E-2;2.050822354E-1;8.868408300E-2;9.748438979E0;1.799322796E1;1.564000034E1;2.630944824E2;5.078059081E1;6.046828810E0
9.350586000E-2;2.084931026E-1;9.359741300E-2;9.735120367E0;1.898520036E1;1.560999966E1;2.632584229E2;5.078049132E1;6.046994030E0
9.841919000E-2;2.144918622E-1;9.851074300E-2;9.668986516E0;1.902126691E1;0.000000000E0;0.000000000E0;5.077864060E1;6.049215300E0
1.033325200E-1;2.354672759E-1;1.034545900E-1;9.643433824E0;1.999440286E1;1.568000031E1;2.626346436E2;5.078039168E1;6.047154350E0
1.082763670E-1;2.645595078E-1;1.083679200E-1;9.617415263E0;2.099044358E1;1.527999973E1;2.625845947E2;5.078030341E1;6.047325180E0
1.131896980E-1;3.024641927E-1;1.132812500E-1;9.618251445E0;2.198727338E1;1.514999962E1;2.620070801E2;5.078022368E1;6.047496640E0
1.181030280E-1;3.490667688E-1;1.181945810E-1;9.575165664E0;2.299953176E1;1.489999962E1;2.625573730E2;5.078015123E1;6.047675110E0
1.230468750E-1;3.983558102E-1;1.231079110E-1;9.522446706E0;2.399234937E1;1.468000031E1;2.624041138E2;5.078007730E1;6.047848530E0
